date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:55	68/68	---M--	200	added ('OK')	text/plain	etag:%2244-5ad960e299798%22	https://1800remodel.com/robots.txt		(from )
09:38:57	78957/78957	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20May%202021%2001:38:50%20GMT	https://1800remodel.com/	E:/thumbalt/1800remodel.com/index.html	(from )
09:38:57	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2006%20May%202021%2001:38:57%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/thumbalt/www.googletagmanager.com/gtm.05445.delayed	(from https://1800remodel.com/)
09:38:59	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2006%20May%202021%2001:38:54%20GMT	https://1800remodel.com/xmlrpc.php	E:/thumbalt/1800remodel.com/xmlrpc.1.delayed	(from https://1800remodel.com/)
09:39:00	8201/8201	---M--	200	added ('OK')	text/css	etag:%222009-5544eec49e000%22	https://1800remodel.com/wp-content/themes/tm-renovation/css/pe-icon-7-stroke.css?ver=5.7.1	E:/thumbalt/1800remodel.com/wp-content/themes/tm-renovation/css/pe-icon-7-strokea78f.css	(from https://1800remodel.com/)
09:39:00	1322/1322	---M--	200	added ('OK')	text/css	etag:%2252a-5544eec49e000%22	https://1800remodel.com/wp-content/themes/tm-renovation/css/renovation.css?ver=5.7.1	E:/thumbalt/1800remodel.com/wp-content/themes/tm-renovation/css/renovationa78f.css	(from https://1800remodel.com/)
09:39:01	1412/1412	---M--	200	added ('OK')	text/css	etag:%22584-5433c55cab500%22	https://1800remodel.com/wp-content/plugins/thememove-core/cmb2/includes/custom-types/css/cmb2-custom-types.css?ver=5.7.1	E:/thumbalt/1800remodel.com/wp-content/plugins/thememove-core/cmb2/includes/custom-types/css/cmb2-custom-typesa78f.css	(from https://1800remodel.com/)
09:39:02	760/760	---MC-	200	added ('OK')	application/rss+xml	etag:%22e78376503404d93eae601d5d8ed76ef4%22	https://1800remodel.com/comments/feed/	E:/thumbalt/1800remodel.com/comments/feed/index.html	(from https://1800remodel.com/)
09:39:02	43920/43920	---MC-	200	added ('OK')	application/rss+xml	etag:%22325d78ef5b0fe43955f9f7a9e45e1cf3%22	https://1800remodel.com/feed/	E:/thumbalt/1800remodel.com/feed/index.html	(from https://1800remodel.com/)
09:39:02	1920/1920	---M--	200	added ('OK')	text/css	etag:%22780-5b70b06e7398a%22	https://1800remodel.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.2	E:/thumbalt/1800remodel.com/wp-content/plugins/contact-form-7/includes/css/styles9dff.css	(from https://1800remodel.com/)
09:39:03	58171/58171	---M--	200	added ('OK')	text/css	etag:%22e33b-5c00917eff525%22	https://1800remodel.com/wp-includes/css/dist/block-library/style.min.css?ver=5.7.1	E:/thumbalt/1800remodel.com/wp-includes/css/dist/block-library/style.mina78f.css	(from https://1800remodel.com/)
09:39:03	43436/43436	---M--	200	added ('OK')	text/css	etag:%22a9ac-552f8c00d08c0%22	https://1800remodel.com/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=2.1.0.2	E:/thumbalt/1800remodel.com/wp-content/plugins/essential-grid/public/assets/css/settingse24f.css	(from https://1800remodel.com/)
